G70001	Ἀαρών	aarōn	aaron	Aaron
G72933	κυλίομαι	kyliomai	kiyliyome	to roll around
G72934	κυλισμός	kylismos	kiyliyzmos	wallowing
G72935	κυλλός	kyllos	kiyllos	crippled
G72936	κῦμα	kyma	kiyma	waves
G72937	κύμβαλον	kymbalon	kiymvalon	cymbal
G72938	κύμινον	kyminon	kiymiynon	cummin
G72939	κυνάριον	kynarion	kiynariyon	dog
G72940	Κύπριος	kyprios	kiypriyos	from Cyprus
G72941	Κύπρος	kypros	kiypros	Cyprus
G72942	κύπτω	kyptō	kiypto	to stoop down
G72943	Κυρηναῖος	kyrēnaios	kiyriyneos	from Cyrene
G72944	Κυρήνη	kyrēnē	kiyriyniy	Cyrene
G72945	Κυρήνιος	kyrēnios	kiyriyniyos	Quirinius
G72946	κυρία	kyria	kiyriya	lady
G72947	κυριακός	kyriakos	kiyriyakos	belonging to the Lord
G72948	κυριεύω	kyrieuō	kiyriyevo	to lord over
G72949	κύριος	kyrios	kiyriyos	lord
G72950	κυριότης	kyriotēs	kiyriyotiys	authority
G72951	κυρόω	kyroō	kiyroo	to reaffirm
G72952	κύων	kyōn	kiyon	dog
G72953	κῶλον	kōlon	kolon	dead body
G72954	κωλύω	kōlyō	koliyo	to hinder
G72955	κώμη	kōmē	komiy	a village
G72956	κωμόπολις	kōmopolis	komopoliys	village
G72957	κῶμος	kōmos	komos	orgy
G72958	κώνωψ	kōnōps	konops	gnat
G72959	Κώς	kōs	kos	Cos
G72960	Κωσάμ	kōsam	kosam	Cosam
G72961	κωφός	kōphos	kofos	unable to talk
G72962	λαγχάνω	lanchanō	langghano	to choose by lot
G72963	Λάζαρος	lazaros	lazaros	Lazarus
G72964	λάθρᾳ	lathra	laθra	secretly
G72965	λαῖλαψ	lailaps	lelaps	storm
G72966	λακάω	lakaō	lakao	to burst open
G72967	λακτίζω	laktizō	laktiyzo	to kick
G72968	λαλέω	laleō	laleo	to speak
G72969	λαλιά	lalia	laliya	speech
G72970	λαμβάνω	lambanō	lamvano	to take
G72971	Λάμεχ	lamech	lamekh	Lamech
G72972	λαμπάς	lampas	lampas	lamp
G72973	λαμπρός	lampros	lampros	bright
G72974	λαμπρότης	lamprotēs	lamprotiys	brightness
G72975	λαμπρῶς	lamprōs	lampros	splendidly
G72976	λάμπω	lampō	lampo	to give light
G72977	λανθάνω	lanthanō	lanθano	to keep secret
G72978	λαξευτός	laxeutos	lakseftos	cut in rock
G72979	Λαοδίκεια	laodikeia	laoðiykiya	Laodicea
G72980	Λαοδικεύς	laodikeus	laoðiykefs	Laodicean
G72981	λαός	laos	laos	people
G72982	λάρυγξ	larynx	lariynggs	throat
G72983	Λασαία	lasaia	lasea	Lasea
G72984	λατομέω	latomeō	latomeo	to cut
G72985	λατρεία	latreia	latriya	worship
G72986	λατρεύω	latreuō	latrevo	to serve
G72987	λάχανον	lachanon	lakhanon	plant
G72988	λεγιών	legiōn	leyiyon	legion
G72989	λέγω	legō	lego	say
G72990	λεῖμμα	leimma	liymma	remnant
G72991	λεῖος	leios	liyos	smooth
G72992	λείπω	leipō	liypo	to lack
G72993	λειτουργέω	leitourgeō	liyturyeo	to perform religious duties
G72994	λειτουργία	leitourgia	liyturyiya	religious service
G72995	λειτουργικός	leitourgikos	liyturyiykos	ministering
G72996	λειτουργός	leitourgos	liyturgos	servant
G72997	λεμά	lema	lema	lama
G72998	λέντιον	lention	lentiyon	towel
G72999	λεπίς	lepis	lepiys	scale
G73000	λέπρα	lepra	lepra	leprosy
G73001	λεπρός	lepros	lepros	leprous
G73002	λεπτόν	lepton	lepton	very small copper coin
G73003	Λευί	leui	leiy	Levi
G73004	Λευίς	leuis	leiys	Levi
G73005	Λευίτης	leuitēs	leiytiys	Levite
G73006	Λευιτικός	leuitikos	leiytiykos	Levitical
G73007	λευκαίνω	leukainō	lefkeno	to bleach
G73008	λευκός	leukos	lefkos	white
G73009	λέων	leōn	leon	lion
G73010	λήθη	lēthē	liyθiy	forgetfulness
G73011	λῆμψις	lēmpsis	liympsiys	receiving
G73012	ληνός	lēnos	liynos	winepress
G73013	λῆρος	lēros	liyros	nonsense
G73014	λῃστής	lēstēs	liystiys	robber
G73015	λίαν	lian	liyan	very much
G73016	λίβανος	libanos	liyvanos	frankincense
G73017	λιβανωτός	libanōtos	liyvanotos	censer
G73018	Λιβερτῖνος	libertinos	liyvertiynos	Freedman
G73019	Λιβύη	libyē	liyviy	Libya
G73020	λιθάζω	lithazō	liyθazo	to stone
G73021	λίθινος	lithinos	liyθiynos	made of stone
G73022	λιθοβολέω	lithoboleō	liyθovoleo	to throw stones
G73023	λίθος	lithos	liyθos	stone
G73024	λιθόστρωτος	lithostrōtos	liyθostrotos	stone pavement
G73025	λικμάω	likmaō	liykmao	to crush
G73026	λιμήν	limēn	liymiyn	harbor
G73027	Λιμήν	limēn	liymiyn	harbor
G73028	λίμνη	limnē	liymniy	lake
G73029	λιμός	limos	liymos	hunger
G73030	λίνον	linon	liynon	linen
G73031	Λίνος	linos	liynos	Linus
G73032	λιπαρός	liparos	liyparos	costly
G73033	λίτρα	litra	liytra	pound
G73034	λίψ	lips	liyps	southwest
G73035	λογεία	logeia	loyiya	collection
G73036	λογίζομαι	logizomai	loyiyzome	to credit
G73037	λογικός	logikos	loyiykos	spiritual
G73038	λόγιον	logion	loyiyon	words
G73039	λόγιος	logios	loyiyos	learned
G73040	λογισμός	logismos	loyiyzmos	thought
G73041	λογομαχέω	logomacheō	logomakheo	to quarrel about words
G73042	λογομαχία	logomachia	logomakhiya	quarrel about words
G73043	λόγος	logos	logos	word
G73044	λόγχη	lonchē	longghiy	spear
G73045	λοιδορέω	loidoreō	liyðoreo	to insult
G73046	λοιδορία	loidoria	liyðoriya	insult
G73047	λοίδορος	loidoros	liyðoros	slanderer
G73048	λοιμός	loimos	liymos	pestilence
G73049	λοιπός	loipos	liypos	remaining
G73050	Λουκᾶς	loukas	lukas	Luke
G73051	Λούκιος	loukios	lukiyos	Lucius
G73052	λουτρόν	loutron	lutron	washing
G73053	λούω	louō	luo	to wash
G73054	Λύδδα	lydda	liyðða	Lydda
G73055	Λυδία	lydia	liyðiya	Lydia
G73056	Λυκαονία	lykaonia	liykaoniya	Lycaonia
G73057	Λυκαονιστί	lykaonisti	liykaoniystiy	in Lycaonian
G73058	Λυκία	lykia	liykiya	Lycia
G73059	λύκος	lykos	liykos	wolf
G73060	λυμαίνομαι	lymainomai	liymenome	to destroy
G73061	λυπέω	lypeō	liypeo	to cause sorrow
G73062	λύπη	lypē	liypiy	sorrow
G73063	Λυσανίας	lysanias	liysaniyas	Lysanias
G73064	Λυσίας	lysias	liysiyas	Lysias
G73065	λύσις	lysis	liysiys	divorce
G73066	λυσιτελεῖ	lysitelei	liysiyteliy	to be advantageous
G73067	Λύστρα	lystra	liystra	Lystra
G73068	λύτρον	lytron	liytron	ransom
G73069	λυτρόομαι	lytroomai	liytroome	to redeem
G73070	λύτρωσις	lytrōsis	liytrosiys	redemption
G73071	λυτρωτής	lytrōtēs	liytrotiys	deliverer
G73072	λυχνία	lychnia	liykhniya	lampstand
G73073	λύχνος	lychnos	liykhnos	lamp
G73074	λύω	lyō	liyo	to loose
G73075	Λωΐς	lōis	loiys	Lois
G73076	Λώτ	lōt	lot	Lot
G73077	Μάαθ	maath	maaθ	Maath
G73078	Μαγαδάν	magadan	magaðan	Magadan
G73079	Μαγδαληνή	magdalēnē	magðaliyniy	Magdalene
G73080	μαγεία	mageia	mayiya	magic
G73081	μαγεύω	mageuō	mayevo	to practice sorcery
G73082	μάγος	magos	magos	sorcerer
G73083	Μαγώγ	magōg	magog	Magog
G73084	Μαδιάμ	madiam	maðiyam	Midian
G73085	μαθητεύω	mathēteuō	maθiytevo	to teach
G73086	μαθητής	mathētēs	maθiytiys	disciple
G73087	μαθήτρια	mathētria	maθiytriya	disciple
G73088	Μαθθαῖος	maththaios	maθθeos	Matthew
G73089	Μαθθάτ	maththat	maθθat	Matthat
G73090	Μαθθίας	maththias	maθθiyas	Matthias
G73091	Μαθουσαλά	mathousala	maθusala	Methuselah
G73092	μαίνομαι	mainomai	menome	to rave
G73093	μακαρίζω	makarizō	makariyzo	to call blessed
G73094	μακάριος	makarios	makariyos	blessed
G73095	μακαρισμός	makarismos	makariyzmos	blessedness
G73096	Μακεδονία	makedonia	makeðoniya	Macedonia
G73097	Μακεδών	makedōn	makeðon	Macedonian
G73098	μάκελλον	makellon	makellon	meat market
G73099	μακράν	makran	makran	far away
G73100	μακρόθεν	makrothen	makroθen	from a distance
G73101	μακροθυμέω	makrothymeō	makroθiymeo	to have patience
G73102	μακροθυμία	makrothymia	makroθiymiya	patience
G73103	μακροθύμως	makrothymōs	makroθiymos	patiently
G73104	μακρός	makros	makros	lengthy
G73105	μακροχρόνιος	makrochronios	makrokhroniyos	long
G73106	μαλακία	malakia	malakiya	sickness
G73107	μαλακός	malakos	malakos	fine
G73108	Μαλελεήλ	maleleēl	maleliyl	Mahalalel
G73109	μάλιστα	malista	maliysta	especially
G73110	μᾶλλον	mallon	mallon	more
G73111	Μάλχος	malchos	malkhos	Malchus
G73112	μάμμη	mammē	mammiy	grandmother
G73113	μαμωνᾶς	mamōnas	mamonas	wealth
G73114	Μαναήν	manaēn	manen	Manaen
G73115	Μανασσῆς	manassēs	manassiys	Manasseh
G73116	μανθάνω	manthanō	manθano	to learn
G73117	μανία	mania	maniya	insanity
G73118	μάννα	manna	manna	manna
G73119	μαντεύομαι	manteuomai	mantevome	to fortune-tell
G73120	μαραίνομαι	marainomai	marenome	to fade away
G73121	μαράνα	marana	marana	maranatha
G73122	μαργαρίτης	margaritēs	margariytiys	pearl
G73123	Μάρθα	martha	marθa	Martha
G73124	Μαρία	maria	mariya	Mary
G73125	Μαριάμ	mariam	mariyam	Mary
G73126	Μᾶρκος	markos	markos	Mark
G73127	μάρμαρος	marmaros	marmaros	marble
G73128	μαρτυρέω	martyreō	martiyreo	to testify
G73129	μαρτυρία	martyria	martiyriya	testimony
G73130	μαρτύριον	martyrion	martiyriyon	testimony
G73131	μαρτύρομαι	martyromai	martiyrome	to testify
G73132	μάρτυς	martys	martiys	witness
G73133	μασάομαι	masaomai	masaome	to gnaw
G73134	μαστιγόω	mastigoō	mastiygoo	to flog
G73135	μαστίζω	mastizō	mastiyzo	to flog
G73136	μάστιξ	mastix	mastiyks	flogging device
G73137	μαστός	mastos	mastos	breast
G73138	ματαιολογία	mataiologia	mateoloyiya	meaningless talk
G73139	ματαιολόγος	mataiologos	mateologos	idle talker
G73140	ματαιόομαι	mataioomai	mateoome	to become futile
G73141	μάταιος	mataios	mateos	worthless
G73142	ματαιότης	mataiotēs	mateotiys	emptiness
G73143	μάτην	matēn	matiyn	in vain
G73144	Ματθάν	matthan	matθan	Matthan
G73145	Ματταθά	mattatha	mattaθa	Mattatha
G73146	Ματταθίας	mattathias	mattaθiyas	Mattathias
G73147	μάχαιρα	machaira	makhera	sword
G73148	μάχη	machē	makhiy	quarrel
G73149	μάχομαι	machomai	makhome	to fight
G73150	μεγαλεῖος	megaleios	megaliyos	wonders
G73151	μεγαλειότης	megaleiotēs	megaliyotiys	majesty
G73152	μεγαλοπρεπής	megaloprepēs	megaloprepiys	majestic
G73153	μεγαλύνω	megalynō	megaliyno	to glorify
G73154	μεγάλως	megalōs	megalos	greatly
G73155	μεγαλωσύνη	megalōsynē	megalosiyniy	majesty
G73156	μέγας	megas	megas	great
G73157	μέγεθος	megethos	meyeθos	greatness
G73158	μεγιστάν	megistan	meyiystan	great man
G73159	μέγιστος	megistos	meyiystos	very great
G73160	μεθερμηνεύω	methermēneuō	meθermiynevo	to translate
G73161	μέθη	methē	meθiy	drunkenness
G73162	μεθίστημι	methistēmi	meθiystiymiy	to move
G73163	μεθοδεία	methodeia	meθoðiya	scheming
G73164	μεθύσκομαι	methyskomai	meθiyskome	to be drunk
G73165	μέθυσος	methysos	meθiysos	drunkard
G73166	μεθύω	methyō	meθiyo	to get drunk
G73167	μειζότερος	meizoteros	miyzoteros	greater
G73168	μείζων	meizōn	miyzon	greater
G73169	μέλαν	melan	melan	the color black
G73170	μέλας	melas	melas	the color black
G73171	Μελεά	melea	melea	Melea
G73172	μέλει	melei	meliy	it is a care
G73173	μελετάω	meletaō	meletao	to plot
G73174	μέλι	meli	meliy	honey
G73175	Μελίτη	melitē	meliytiy	Malta
G73176	μέλλω	mellō	mello	to be about to
G73177	μέλος	melos	melos	part
G73178	Μελχί	melchi	melkhiy	Melki
G73179	Μελχισέδεκ	melchisedek	melkhiyseðek	Melchizedek
G73180	μεμβράνα	membrana	memvrana	parchment
G73181	μέμφομαι	memphomai	memfome	to find fault with
G73182	μεμψίμοιρος	mempsimoiros	mempsiymiyros	fault-finding
G73183	μέν	men	men	and; indeed
G73184	Μεννά	menna	menna	Menna
G73185	μενοῦν	menoun	menun	rather
G73186	μενοῦνγε	menounge	menunye	rather
G73187	μέντοι	mentoi	mentiy	but
G73188	μένω	menō	meno	to stay
G73189	μερίζω	merizō	meriyzo	to give
G73190	μέριμνα	merimna	meriymna	worry
G73191	μεριμνάω	merimnaō	meriymnao	to worry
G73192	μερίς	meris	meriys	district
G73193	μερισμός	merismos	meriyzmos	dividing
G73194	μεριστής	meristēs	meriystiys	arbiter
G73195	μέρος	meros	meros	part
G73196	μεσημβρία	mesēmbria	mesiymvriya	noon
G73197	μεσιτεύω	mesiteuō	mesiytevo	to confirm
G73198	μεσίτης	mesitēs	mesiytiys	mediator
G73199	μεσονύκτιον	mesonyktion	mesoniyktiyon	midnight
G73200	Μεσοποταμία	mesopotamia	mesopotamiya	Mesopotamia
G73201	μέσος	mesos	mesos	middle
G73202	μεσότοιχον	mesotoichon	mesotiykhon	dividing wall
G73203	μεσουράνημα	mesouranēma	mesuraniyma	midair
G73204	μεσόω	mesoō	mesoo	to be halfway through
G73205	Μεσσίας	messias	messiyas	Messiah
G73206	μεστός	mestos	mestos	full
G73207	μεστόω	mestoō	mestoo	to be filled
G73208	μετά	meta	meta	with
G73209	μεταβαίνω	metabainō	metaveno	to go on
G73210	μεταβάλλομαι	metaballomai	metavallome	to change one's mind
G73211	μετάγω	metagō	metago	to turn
G73212	μεταδίδωμι	metadidōmi	metaðiyðomiy	to impart
G73213	μετάθεσις	metathesis	metaθesiys	removal
G73214	μεταίρω	metairō	metero	to move on
G73215	μετακαλέομαι	metakaleomai	metakaleome	to send for
G73216	μετακινέω	metakineō	metakiyneo	to be moved
G73217	μεταλαμβάνω	metalambanō	metalamvano	to share in
G73218	μετάλημψις	metalēmpsis	metaliympsiys	receiving
G73219	μεταλλάσσω	metallassō	metallasso	to exchange
G73220	μεταμέλομαι	metamelomai	metamelome	to regret
G73221	μεταμορφόομαι	metamorphoomai	metamorfoome	to be transformed
G73222	μετανοέω	metanoeō	metanoeo	to repent
G73223	μετάνοια	metanoia	metaniya	change of mind
G73224	μεταξύ	metaxy	metaksiy	between
G73225	μεταπέμπομαι	metapempomai	metapempome	to summon
G73226	μεταστρέφω	metastrephō	metastrefo	to pervert
G73227	μετασχηματίζω	metaschēmatizō	metaskhiymatiyzo	to transform
G73228	μετατίθημι	metatithēmi	metatiyθiymiy	to change
G73229	μετατρέπω	metatrepō	metatrepo	to be changed
G73230	μετέπειτα	metepeita	metepiyta	afterward
G73231	μετέχω	metechō	metekho	to share in
G73232	μετεωρίζομαι	meteōrizomai	meteoriyzome	to worry about
G73233	μετοικεσία	metoikesia	metiykesiya	exile
G73234	μετοικίζω	metoikizō	metiykiyzo	to cause to emigrate
G73235	μετοχή	metochē	metokhiy	something in common
G73236	μέτοχος	metochos	metokhos	sharing in
G73237	μετρέω	metreō	metreo	to measure
G73238	μετρητής	metrētēs	metriytiys	measure
G73239	μετριοπαθέω	metriopatheō	metriyopaθeo	to deal gently
G73240	μετρίως	metriōs	metriyos	not greatly
G73241	μέτρον	metron	metron	measure
G73242	μέτωπον	metōpon	metopon	forehead
G73243	μέχρις	mechris	mekhriys	until
G73244	μή	mē	miy	no
G73245	μήγε	mēge	miyye	not
G73246	μηδαμῶς	mēdamōs	miyðamos	surely not
G73247	μηδέ	mēde	miyðe	nor
G73248	μηδείς	mēdeis	miyðiys	no one
G73249	μηδέποτε	mēdepote	miyðepote	never
G73250	μηδέπω	mēdepō	miyðepo	not yet
G73251	Μῆδος	mēdos	miyðos	Mede
G73252	μηκέτι	mēketi	miyketiy	no longer
G73253	μῆκος	mēkos	miykos	length
G73254	μηκύνομαι	mēkynomai	miykiynome	to grow
G73255	μηλωτή	mēlōtē	miylotiy	sheepskin
G73256	μήν	mēn	miyn	a month
G73257	μήν	mēn	miyn	surely
G73258	μηνύω	mēnyō	miyniyo	to inform
G73259	μήποτε	mēpote	miypote	never
G73260	μήπω	mēpō	miypo	not yet
G73261	μηρός	mēros	miyros	the thigh
G73262	μήτε	mēte	miyte	and not
G73263	μήτηρ	mētēr	miytiyr	mother
G73264	μήτι	mēti	miytiy	[interrogative particle]
G73265	μήτιγε	mētige	miytiyye	how much more
G73266	μήτρα	mētra	miytra	womb
G73267	μητρολῴας	mētrolōas	miytroloas	one who kills a mother
G73268	μιαίνω	miainō	miyeno	to pollute
G73269	μίασμα	miasma	miyazma	corruption
G73270	μιασμός	miasmos	miyazmos	corruption
G73271	μίγμα	migma	miygma	mixture
G73272	μίγνυμι	mignymi	miygniymiy	to mix
G73273	μικρός	mikros	miykros	little
G73274	Μίλητος	milētos	miyliytos	Miletus
G73275	μίλιον	milion	miyliyon	mile
G73276	μιμέομαι	mimeomai	miymeome	to imitate
G73277	μιμητής	mimētēs	miymiytiys	imitator
G73278	μιμνῄσκομαι	mimnēskomai	miymniyskome	to remember
G73279	μισέω	miseō	miyseo	to hate
G73280	μισθαποδοσία	misthapodosia	miysθapoðosiya	reward
G73281	μισθαποδότης	misthapodotēs	miysθapoðotiys	rewarder
G73282	μίσθιος	misthios	miysθiyos	hired worker
G73283	μισθόομαι	misthoomai	miysθoome	to hire
G73284	μισθός	misthos	miysθos	wage
G73285	μίσθωμα	misthōma	miysθoma	rented house
G73286	μισθωτός	misthōtos	miysθotos	hired worker
G73287	Μιτυλήνη	mitylēnē	miytiyliyniy	Mitylene
G73288	Μιχαήλ	michaēl	miykhel	Michael
G73289	μνᾶ	mna	mna	mina
G73290	Μνάσων	mnasōn	mnason	Mnason
G73291	μνεία	mneia	mniya	remembrance
G73292	μνῆμα	mnēma	mniyma	tomb
G73293	μνημεῖον	mnēmeion	mniymiyon	tomb
G73294	μνήμη	mnēmē	mniymiy	remembrance
G73295	μνημονεύω	mnēmoneuō	mniymonevo	to remember
G73296	μνημόσυνον	mnēmosynon	mniymosiynon	memory
G73297	μνηστεύομαι	mnēsteuomai	mniystevome	to ask in marriage
G73298	μογιλάλος	mogilalos	moyiylalos	hardly able to talk
G73299	μόγις	mogis	moyiys	scarcely ever
G73300	μόδιος	modios	moðiyos	large bowl
G73301	μοιχαλίς	moichalis	miykhaliys	adulteress
G73302	μοιχάομαι	moichaomai	miykhaome	to commit adultery
G73303	μοιχεία	moicheia	miykhiya	adultery
G73304	μοιχεύω	moicheuō	miykhevo	to commit adultery
G73305	μοιχός	moichos	miykhos	adulterer
G73306	μόλις	molis	moliys	with difficulty
G73307	Μολόχ	moloch	molokh	Molech
G73308	μολύνω	molynō	moliyno	to defile
G73309	μολυσμός	molysmos	moliyzmos	contamination
G73310	μομφή	momphē	momfiy	grievance
G73311	μονή	monē	moniy	room
G73312	μονογενής	monogenēs	monoyeniys	one and only
G73313	μόνον	monon	monon	only
G73314	μονόομαι	monoomai	monoome	to be left alone
G73315	μόνος	monos	monos	only
G73316	μονόφθαλμος	monophthalmos	monofθalmos	one-eyed
G73317	μορφή	morphē	morfiy	form
G73318	μορφόω	morphoō	morfoo	to be formed
G73319	μόρφωσις	morphōsis	morfosiys	embodiment
G73320	μοσχοποιέω	moschopoieō	moskhopiyeo	to form an image of a calf
G73321	μόσχος	moschos	moskhos	calf
G73322	μουσικός	mousikos	musiykos	musician
G73323	μόχθος	mochthos	mokhθos	toil
G73324	μυελός	myelos	miyelos	marrow
G73325	μυέομαι	myeomai	miyeome	to learn a secret
G73326	μῦθος	mythos	miyθos	myth
G73327	μυκάομαι	mykaomai	miykaome	to roar
G73328	μυκτηρίζω	myktērizō	miyktiyriyzo	to be mocked
G73329	μυλικός	mylikos	miyliykos	of a mill
G73330	μύλινος	mylinos	miyliynos	belonging to a mill
G73331	μύλος	mylos	miylos	hand mill
G73332	Μύρα	myra	miyra	Myra
G73333	μυριάς	myrias	miyriyas	myriad
G73334	μυρίζω	myrizō	miyriyzo	to pour perfume
G73335	μύριοι	myrioi	miyriyiy	ten thousand
G73336	μύρον	myron	miyron	perfume
G73337	Μυσία	mysia	miysiya	Mysia
G73338	μυστήριον	mystērion	miystiyriyon	mystery
G73339	μυωπάζω	myōpazō	miyopazo	to be nearsighted
G73340	μώλωψ	mōlōps	molops	wound
G73341	μωμάομαι	mōmaomai	momaome	to criticize
G73342	μῶμος	mōmos	momos	blemish
G73343	μωραίνω	mōrainō	moreno	to make foolish
G73344	μωρία	mōria	moriya	foolishness
G73345	μωρολογία	mōrologia	moroloyiya	foolish talk
G73346	μωρός	mōros	moros	foolish
G73347	Μωϋσῆς	mōysēs	moiysiys	Moses
G73348	Ναασσών	naassōn	naasson	Nahshon
G73349	Ναγγαί	nangai	nangge	Naggai
G73350	Ναζαρά	nazara	nazara	Nazareth
G73351	Ναζαρέθ	nazareth	nazareθ	Nazareth
G73352	Ναζαρέτ	nazaret	nazaret	Nazareth
G73353	Ναζαρηνός	nazarēnos	nazariynos	of Nazareth
G73354	Ναζωραῖος	nazōraios	nazoreos	Nazarene
G73355	Ναθάμ	natham	naθam	Nathan
G73356	Ναθαναήλ	nathanaēl	naθanel	Nathanael
G73357	ναί	nai	ne	yes
G73358	Ναιμάν	naiman	neman	Naaman
G73359	Ναΐν	nain	naiyn	Nain
G73360	ναός	naos	naos	temple
G73361	Ναούμ	naoum	naum	Nahum
G73362	νάρδος	nardos	narðos	nard
G73363	Νάρκισσος	narkissos	narkiyssos	Narcissus
G73364	ναυαγέω	nauageō	navayeo	to be shipwrecked
G73365	ναύκληρος	nauklēros	nafkliyros	ship owner
G73366	ναῦς	naus	nafs	ship
G73367	ναύτης	nautēs	naftiys	sailor
G73368	Ναχώρ	nachōr	nakhor	Nahor
G73369	Νέα	nea	nea	Neapolis
G73370	νεανίας	neanias	neaniyas	young man
G73371	νεανίσκος	neaniskos	neaniyskos	young man
G73372	νεκρός	nekros	nekros	dead
G73373	νεκρόω	nekroō	nekroo	to put to death
G73374	νέκρωσις	nekrōsis	nekrosiys	death
G73375	νέος	neos	neos	new
G73376	νεότης	neotēs	neotiys	youth
G73377	νεόφυτος	neophytos	neofiytos	newly converted
G73378	νεύω	neuō	nevo	to motion
G73379	νεφέλη	nephelē	nefeliy	cloud
G73380	Νεφθαλίμ	nephthalim	nefθaliym	Naphtali
G73381	νέφος	nephos	nefos	cloud
G73382	νεφρός	nephros	nefros	mind
G73383	νεωκόρος	neōkoros	neokoros	guardian of the temple
G73384	νεωτερικός	neōterikos	neoteriykos	natural to youth
G73385	νή	nē	niy	as surely as
G73386	νήθω	nēthō	niyθo	to spin
G73387	νηπιάζω	nēpiazō	niypiyazo	to be a child
G73388	νήπιος	nēpios	niypiyos	child
G73389	Νηρεύς	nēreus	niyrefs	Nereus
G73390	Νηρί	nēri	niyriy	Neri
G73391	νησίον	nēsion	niysiyon	small island
G73392	νῆσος	nēsos	niysos	island
G73393	νηστεία	nēsteia	niystiya	fasting
G73394	νηστεύω	nēsteuō	niystevo	to fast
G73395	νῆστις	nēstis	niystiys	hungry
G73396	νηφάλιος	nēphalios	niyfaliyos	temperate
G73397	νήφω	nēphō	niyfo	to be self-controlled
G73398	Νίγερ	niger	niyyer	Niger
G73399	Νικάνωρ	nikanōr	niykanor	Nicanor
G73400	νικάω	nikaō	niykao	to overcome
G73401	νίκη	nikē	niykiy	victory
G73402	Νικόδημος	nikodēmos	niykoðiymos	Nicodemus
G73403	Νικολαΐτης	nikolaitēs	niykolaiytiys	Nicolaitan
G73404	Νικόλαος	nikolaos	niykolaos	Nicolas
G73405	Νικόπολις	nikopolis	niykopoliys	Nicopolis
G73406	νῖκος	nikos	niykos	victory
G73407	Νινευίτης	nineuitēs	niyneiytiys	Ninevite
G73408	νιπτήρ	niptēr	niyptiyr	basin for washing
G73409	νίπτω	niptō	niypto	to wash
G73410	νοέω	noeō	noeo	to understand
G73411	νόημα	noēma	niyma	thought
G73412	νόθος	nothos	noθos	illegitimate
G73413	νομή	nomē	nomiy	pasture
G73414	νομίζω	nomizō	nomiyzo	to think
G73415	νομικός	nomikos	nomiykos	about the law
G73416	νομίμως	nomimōs	nomiymos	properly
G73417	νόμισμα	nomisma	nomiyzma	coin
G73418	νομοδιδάσκαλος	nomodidaskalos	nomoðiyðaskalos	teacher of the law
G73419	νομοθεσία	nomothesia	nomoθesiya	law
G73420	νομοθετέομαι	nomotheteomai	nomoθeteome	to be given law
G73421	νομοθέτης	nomothetēs	nomoθetiys	lawgiver
G73422	νόμος	nomos	nomos	law
G73423	νοσέω	noseō	noseo	to be unhealthy
G73424	νόσος	nosos	nosos	disease
G73425	νοσσιά	nossia	nossiya	chick
G73426	νοσσίον	nossion	nossiyon	young
G73427	νοσσός	nossos	nossos	young
G73428	νοσφίζομαι	nosphizomai	nosfiyzome	to hold back for oneself
G73429	νότος	notos	notos	south
G73430	νουθεσία	nouthesia	nuθesiya	warning
G73431	νουθετέω	noutheteō	nuθeteo	to warn
G73432	νουμηνία	noumēnia	numiyniya	New Moon Celebration
G73433	νουνεχῶς	nounechōs	nunekhos	wisely
G73434	νοῦς	nous	nus	mind
G73435	Νύμφα	nympha	niymfa	Nympha
G73436	Νυμφᾶς	nymphas	niymfas	Nymphas
G73437	νύμφη	nymphē	niymfiy	bride
G73438	νυμφίος	nymphios	niymfiyos	bridegroom
G73439	νυμφών	nymphōn	niymfon	bridegroom
G73440	νῦν	nyn	niyn	now
G73441	νυνί	nyni	niyniy	now
G73442	νύξ	nyx	niyks	night
G73443	νύσσω	nyssō	niysso	to pierce
G73444	νυστάζω	nystazō	niystazo	to become drowsy
G73445	νυχθήμερον	nychthēmeron	niykhθiymeron	a night and a day
G73446	Νῶε	nōe	noe	Noah
G73447	νωθρός	nōthros	noθros	slow to learn
G73448	νῶτος	nōtos	notos	back
G73449	ξενία	xenia	kseniya	place to stay
G73450	ξενίζω	xenizō	kseniyzo	to receive a guest
G73451	ξενοδοχέω	xenodocheō	ksenoðokheo	to show hospitality
G73452	ξένος	xenos	ksenos	strange
G73453	ξέστης	xestēs	ksestiys	pitcher
G73454	ξηραίνω	xērainō	ksiyreno	to wither
G73455	ξηρός	xēros	ksiyros	dried up
G73456	ξύλινος	xylinos	ksiyliynos	made of wood
G73457	ξύλον	xylon	ksiylon	wood
G73458	ξυράομαι	xyraomai	ksiyraome	to cut off the hair
G73459	ὁ	ho	o	the
G73460	ὀγδοήκοντα	ogdoēkonta	ogðiykonta	eighty
G73461	ὄγδοος	ogdoos	ogðoos	eighth
G73462	ὄγκος	onkos	onggos	hinderance
G73463	ὅδε	hode	oðe	this
G73464	ὁδεύω	hodeuō	oðevo	to travel
G73465	ὁδηγέω	hodēgeō	oðiyyeo	to lead
G73466	ὁδηγός	hodēgos	oðiygos	guide
G73467	ὁδοιπορέω	hodoiporeō	oðiyporeo	to be on a journey
G73468	ὁδοιπορία	hodoiporia	oðiyporiya	journey
G73469	ὁδός	hodos	oðos	road
G73470	ὀδούς	odous	oðus	tooth
G73471	ὀδυνάομαι	odynaomai	oðiynaome	to grieve
G73472	ὀδύνη	odynē	oðiyniy	anguish
