α	alpha
ἐπαυτόφώρως	pertaining to being caught in the act
Ἐπαφρᾶς	Epaphras
ἐπαφρίζω	to foam up
Ἐπαφρόδιτος	Epaphroditus
ἐπεγείρω	to stir up
ἐπεί	since
ἐπειδή	when
ἐπειδήπερ	inasmuch as
ἐπεῖδον	to show favor
ἔπειμι	the next day (from a verb that means <i>to follow
ἐπείπερ	since
ἐπεισαγωγή	introduction
ἐπεισέρχομαι	to come in
ἔπειτα	then
ἐπέκεινα	beyond
ἐπεκτείνομαι	to strain toward
ἐπενδύομαι	to be clothed with
ἐπενδύτης	outer garment
ἐπέρχομαι	to come
ἐπερωτάω	to ask
ἐπερώτημα	pledge
ἐπέχω	(tr.) hold out
ἐπηρεάζω	to mistreat
ἐπί	(gen.) on
ἐπιβαίνω	to go up
ἐπιβάλλω	(tr.) to throw over
ἐπιβαρέω	to burden
ἐπιβιβάζω	to put (someone) on (a mount)
ἐπιβλέπω	to look at
ἐπίβλημα	patch
ἐπιβοάω	to cry out loudly
ἐπιβουλή	plan
ἐπιγαμβρεύω	to marry (as next of kin)
ἐπίγειος	being on the earth
ἐπιγίνομαι	to come up
ἐπιγινώσκω	to know (fully)
ἐπίγνωσις	knowledge
ἐπιγραφή	inscription
ἐπιγράφω	(act.) to write
ἐπιδείκνυμι	to show
ἐπιδέχομαι	to welcome
ἐπιδημέω	to live as a visitor
ἐπιδιατάσσομαι	to add to (a covenant)
ἐπιδίδωμι	to give
ἐπιδιορθόω	to straighten out
ἐπιδύω	to go down
ἐπιείκεια	gentleness
ἐπιεικής	gentle
ἐπιζητέω	to look for
ἐπιθανάτιος	condemned to die
ἐπίθεσις	laying on
ἐπιθυμέω	to long for
ἐπιθυμητής	one who desires
ἐπιθυμία	desire
ἐπιθύω	to offer a sacrifice
ἐπικαθίζω	to sit down (upon)
ἐπικαλέω	(act./pass.) to call (upon)
ἐπικάλυμμα	cover-up
ἐπικαλύπτω	(pass.) to be covered
ἐπικατάρατος	cursed
ἐπίκειμαι	to lay upon
ἐπικέλλω	to run aground
ἐπικερδαίνω	to gain in addition
ἐπικεφάλαιον	(poll) tax
Ἐπικούρειος	Epicurean
ἐπικουρία	help
ἐπικράζω	to shout threats
ἐπικρίνω	to decide
ἐπιλαμβάνομαι	to take hold
ἐπιλάμπω	to shine out
ἐπιλανθάνομαι	to forget
ἐπιλέγω	(pass.) to be called
ἐπιλείπω	to not have (time)
ἐπιλείχω	to lick
ἐπιλησμονή	forgetfulness
ἐπίλοιπος	remaining
ἐπίλυσις	interpretation
ἐπιλύω	to explain
ἐπιμαρτυρέω	to testify that
ἐπιμέλεια	needs
ἐπιμελέομαι	to take care of
ἐπιμελῶς	carefully
ἐπιμένω	to stay
ἐπινεύω	to accept
ἐπίνοια	thought
ἐπιορκέω	to break an oath
ἐπίορκος	perjured
ἐπιούσιος	what recurs on a day to day basis
ἐπιπίπτω	to fall upon
ἐπιπλήσσω	to rebuke
ἐπιποθέω	to long for
ἐπιπόθησις	longing (for)
ἐπιπόθητος	longed for
ἐπιποθία	longing
ἐπιπορεύομαι	to come to
ἐπιράπτω	to sew on
ἐπιρίπτω	to throw on
ἐπισείω	to urge on
ἐπίσημος	notorious
ἐπισιτισμός	food
ἐπισκέπτομαι	to visit
ἐπισκευάζομαι	to get ready
ἐπισκηνόω	to rest upon
ἐπισκιάζω	to cast a shadow
ἐπισκοπέω	to see to
ἐπισκοπή	coming
ἐπίσκοπος	overseer or bishop
ἐπισπάομαι	to (attempt to) conceal circumcision
ἐπισπείρω	to sow afterward
ἐπίσταμαι	to understand
ἐπίστασις	stirring up
ἐπιστάτης	master
ἐπιστέλλω	to write a letter
ἐπιστήμη	understanding
ἐπιστήμων	understanding
ἐπιστηρίζω	to strengthen
ἐπιστολή	letter
ἐπιστομίζω	to silence
ἐπιστρέφω	to turn (around
ἐπιστροφή	conversion
ἐπισυνάγω	to gather together
ἐπισυναγωγή	gathering
ἐπισυντρέχω	to run together to
ἐπισυρράπτο	to sew on
ἐπισύστασις	uprising
ἐπισφαλής	dangerous
ἐπισχύω	to insist
ἐπισωρεύω	to gather a great number
ἐπιταγή	command
ἐπιτάσσω	to command
ἐπιτελέω	to finish
ἐπιτήδειος	needful
ἐπιτίθημι	to place
ἐπιτιμάω	to rebuke
ἐπιτιμία	punishment
ἐπιτρέπω	to let
ἐπιτροπεύω	to be governor
ἐπιτροπή	commission
ἐπίτροπος	foreman
ἐπιτυγχάνω	to obtain
ἐπιφαίνω	(act.) to appear
ἐπιφάνεια	appearing
ἐπιφανής	glorious
ἐπιφαύσκω	to shine on
ἐπιφέρω	to bring upon
ἐπιφωνέω	to shout
ἐπιφώσκω	to dawn
ἐπιχειρέω	to attempt
ἐπιχείρησις	attempt
ἐπιχέω	to pour on
ἐπιχορηγέω	to support
ἐπιχορηγία	support
ἐπιχρίω	to put on
ἐπιψαύω	to touch
ἐποικοδομέω	to build up
ἐποκέλλω	to run aground
ἐπονομάζω	(pass.) to be called
ἐποπτεύω	to see
ἐπόπτης	eyewitness
ἔπος	word
ἐπουράνιος	heavenly
ἑπτά	seven
ἑπτάκις	seven times
ἑπτακισχίλιοι	seven thousand
ἑπταπλασίων	sevenfold
Ἔραστος	Erastus
ἐραυνάω	to search
ἐργάζομαι	to work
ἐργασία	trade
ἐργάτης	worker
ἔργον	work
ἐρεθίζω	to stir up
ἐρείδω	to stick fast
ἐρεύγομαι	to utter
ἐρημία	remote place
ἐρημόω	(pass.) to be brought to ruin
ἐρήμωσις	desolation
ἐρίζω	to quarrel
ἐριθεία	selfish ambition
ἔριον	wool
ἔρις	quarrel
ἐρίφιον	goat
ἔριφος	(young) goat
Ἑρμᾶς	Hermas
ἑρμηνεία	interpretation
ἑρμηνευτής	translator
ἑρμηνεύω	to translate
Ἑρμῆς	Hermes
Ἑρμογένης	Hermogenes
ἑρπετόν	reptile
ἐρυθρός	red
ἔρχομαι	to come
ἐρωτάω	to ask
ἐσθής	clothing
ἔσθησις	government
ἐσθίω	to eat
ἔσθω	to eat
Ἑσλί	Esli
ἔσοπτρον	mirror
ἑσπέρα	evening
ἑσπερινός	pertaining to the evening
Ἑσρώμ	Hezron
ἐσσόομαι	to be inferior
ἐσχάτως	last (of a series)
ἔσω	in
ἔσωθεν	from within
ἐσώτερος	inner
ἑταῖρος	friend
ἑτερόγλωσσος	speaking in a foreign language
ἑτεροδιδασκαλέω	to teach false doctrine
ἑτεροζυγέω	to yoke together in a mismatch
ἑτέρως	other
ἔτι	still
ἑτοιμάζω	to prepare
ἑτοιμασία	readiness
ἑτοίμως	ready
ἔτος	year
εὖ	well
Εὕα	Eve
εὐαγγελίζω	to preach (bring) the good news (gospel
εὐαγγέλιον	gospel
εὐαγγελιστής	evangelist
εὐαρεστέω	to please
εὐαρέστως	pleasing
Εὔβουλος	Eubulus
εὖγε	well done!
εὐγενής	of noble birth
εὐγλωττία	glibness
εὐδία	fair weather
εὐδοκέω	to be well pleased
εὐδοκία	goodwill
εὐεργεσία	act of kindness
εὐεργετέω	to do good to
εὐεργέτης	benefactor
εὔθετος	fit
εὐθέως	immediately
εὐθυδρομέω	to sail straight
εὐθυμέω	to keep up one's courage
εὐθύμως	encouraged
εὐθύνω	to make straight
εὐθύς	immediately
εὐθύτης	righteousness
εὐκαιρέω	to have a chance to
εὐκαιρία	opportunity
εὐκαίρως	opportune
εὔκοπος	easy
εὐλάβεια	reverence
εὐλαβέομαι	to have holy fear
εὐλαβής	devout
εὐλογέω	to praise
εὐλογητός	worthy of being praised
εὐλογία	blessing
εὐμετάδοτος	generous
Εὐνίκη	Eunice
εὐνοέω	to settle matters by coming to terms
εὔνοια	wholeheartedness
εὐνουχίζω	to emasculate
εὐνοῦχος	eunuch
εὐοδόω	(pass.) to get along with
εὐπάρεδρος	devoted
εὐπειθής	submissive
εὐπερισπαστος	easily distracting
εὐπερίστατος	easily entangling
εὐποιΐα	doing good
εὐπορέω	to have (financial) ability
εὐπορία	prosperity
εὐπρέπεια	beauty
εὐπρόσδεκτος	acceptable
εὐπρόσεδρος	constant
εὐπροσωπέω	to make a good impression
εὐρακύλων	northeast wind
εὑρίσκω	(act.) to find
εὐρύχωρος	broad
εὐσέβεια	godliness
εὐσεβέω	to worship
εὐσεβής	devout
εὐσεβῶς	in a godly manner
εὔσημος	intelligible
εὔσπλαγχνος	compassionate
εὐσχημονέω	to behave in an affected manner
εὐσχημόνως	decently
εὐσχημοσύνη	modesty
εὐσχήμων	presentable
εὐτόνως	vehemently
εὐτραπελία	coarse joking
Εὔτυχος	Eutychus
εὐφημία	good report
εὔφημος	admirable
εὐφορέω	to produce a good crop
εὐφραίνω	(act.) to cause celebration
Εὐφράτης	Euphrates
εὐφροσύνη	joy
εὐχαριστέω	to thank
εὐχαριστία	expression of thanks
εὐχάριστος	thankful (in word and attitude)
εὐχή	vow
εὔχομαι	to pray for
εὔχρηστος	useful
εὐψυχέω	to be cheerful
εὐωδία	Euodia
εὐώνυμος	left (direction)
εὐωχία	banquet
ἐφάλλομαι	to jump on
ἐφάπαξ	once for all
Ἐφεσῖνος	Ephesian
Ἐφέσιος	Ephesian
Ἔφεσος	Ephesus
ἐφευρετής	inventor
ἐφημερία	(priestly) division
ἐφήμερος	daily
ἐφικνέομαι	to come (to)
ἐφίστημι	to approach
ἐφκάθετος	(n.) spy
ἐφκακέω	to give up
ἐφοράω	to gaze upon
Ἐφραίμ	Ephraim
ἐφφαθά	ephphatha!
ἐχθές	yesterday
ἔχθρα	hostility
ἐχθρός	(n.) enemy
ἔχιδνα	viper
ἔχω	(tr.) to have
ἕως	up to
Ζαβουλών	Zebulun
Ζακχαῖος	Zacchaeus
Ζάρα	Zerah
Ζαχαρίας	Zechariah
ζάω	to be alive
Ζεβεδαῖος	Zebedee
ζεστός	hot
ζεύγνυμι	to connect
ζεῦγος	yoke
ζευκτηρία	rope
Ζεύς	Zeus
ζέω	to have great fervor
ζηλεύω	to be earnest
ζῆλος	zeal
ζηλόω	to desire
ζηλωτής	zealot
ζημία	loss
ζημιόω	(pass.) to forfeit
Ζηνᾶς	Zenas
ζητέω	to look for
ζήτημα	question for discussion
ζήτησις	argument
ζιζάνιον	weed
Ζοροβαβέλ	Zerubbabel
ζόφος	blackness
ζυγός	yoke
ζύμη	yeast
ζυμόω	to leaven
ζωγρέω	to capture (alive)
ζωή	life
ζώνη	belt
ζώννυμι	to dress
ζωννύω	to dress
ζῳογονέω	to give life
ζῷον	living creature
ζῳοποιέω	to make alive
ἦ	letter of the Greek alphabet
ἡγεμονεύω	to govern
ἡγεμονία	reign
ἡγεμών	ruler
ἡγέομαι	to lead
ἡδέως	gladly
ἤδη	already
ἡδονή	pleasure
ἡδύοσμον	mint
ἦθος	custom
ἥκω	to come
Ἠλί	Eli [Hebrew: my God]
Ἠλίας	Elijah
ἡλικία	life
ἡλίκος	how much
ἥλιος	sun
ἧλος	nail (used in crucifixion)
ἡμεῖς	see ἐγώ
ἡμέρα	day
ἡμέτερος	our
ἡμιθανής	half dead
ἥμισυς	half (temporal and spacial)
ἡμιώριον	half an hour
ἦν	Spatially: in
ἡνίκα	when
ἤπερ	than
ἤπιος	gentle
Ἤρ	Er
ἤρεμος	deserted
Ἡρῴδης	Herod
Ἡρῳδιανοί	Herodians
Ἡρῳδιάς	Herodias
Ἡρῳδίων	Herodion
Ἠσαίας	Isaiah
Ἠσαῦ	Esau
ἥσσων	for the worse
ἡσυχάζω	to be silent
ἡσυχία	quietness
ἡσύχιος	quiet
ἤτοι	(in a series) whether...or
ἡττάομαι	to be mastered
ἥττημα	loss
ἥττων	for the worse
ἠχέω	to resound
ἦχος	sound
θάβιτα	girl
Θαδδαῖος	Thaddaeus
θάλασσα	sea
θάλπω	to care for
Θαμάρ	Tamar
θαμβέω	(pass.) to be amazed
θάμβος	amazement
θανάσιμος	deadly
θανατηφόρος	deadly
θάνατος	death
θανατόω	to put to death
θάπτω	to bury
Θάρα	Terah
θαρρέω	to have confidence
θαρσέω	take heart!
θάρσος	encouragement
θαῦμα	wonder
θαυμάζω	to be amazed (at)
θαυμάσιος	wonderful
θαυμαστός	wonderful
θεά	goddess
θεάομαι	to see
θεατρίζω	to publicly expose
θέατρον	theatre
θεῖον	sulfur
θεῖος	divine
θειότης	divine nature
θειώδης	(yellow) as sulfur
θέκλα	Thecla
θέλημα	will
θέλησις	will
θέλω	to will
θεμέλιον	foundation
θεμέλιος	foundation
θεμελιόω	to lay a foundation
θεοδίδακτος	taught by God
θεολόγος	one who speaks of God or divine things
θεομαχέω	to fight against God
θεομάχος	fighting against God
θεόπνευστος	God-breathed
θεός	God
θεοσέβεια	worship of God
θεοσεβής	godly
θεοστυγής	God-hating
θεότης	Deity
Θεόφιλος	Theophilus
θεραπεία	service
θεραπεύω	to serve
θεράπων	servant
θερίζω	to reap
θερισμός	harvest
θεριστής	harvester
θερμαίνω	(mid.) to keep warm
θέρμη	heat
θέρος	summer
θεσσαλία	Thessaly
Θεσσαλονικεύς	Thessalonian
Θεσσαλονίκη	Thessalonica
Θευδᾶς	Theudas
θεωρέω	to see
θεωρία	sight
θήκη	sheath
θηλάζω	to nurse a baby
θῆλυς	female
θήρα	trap
θηρεύω	to catch in a mistake
θηριομαχέω	to fight wild animals
θηρίον	(wild) animal
θησαυρίζω	to store up
θησαυρός	treasure
θιγγάνω	to touch
θλίβω	(act.) to press upon
θλῖψις	trouble
θνῄσκω	(perf.) to have died
θνητός	mortal
θορυβάζω	(pass.) to be upset
θορυβέω	to start a riot
θόρυβος	uproar
θραυματρίζω	to break
θραύω	(pass.) to be oppressed
θρέμμα	livestock
θρηνέω	to sing a funeral dirge
θρῆνος	dirge
θρησκεία	religion
θρησκός	religious
θριαμβεύω	to lead in a triumphal procession
θρίξ	hair
θροέω	(pass.) to be alarmed
θρόμβος	drop
θρόνος	throne
θρύπτω	to break in pieces
Θυάτειρα	Thyatira
θυγάτηρ	daughter
θυγάτριον	little daughter
θύελλα	storm
θύι&νος	citron
θυμίαμα	incense
θυμιατήριον	incense altar
θυμιάω	to burn incense
θυμομαχέω	to quarrel
θυμός	wrath
θυμόω	(pass.) to become angry
θύρα	door
θυρεός	(long
θυρίς	window
θυρωρός	doorkeeper
θυσία	sacrifice
θυσιαστήριον	altar
θύω	to kill
Θωμᾶς	Thomas
θώραξ	breastplate
Ἰάι&ρος	Jairus
Ἰακώβ	Jacob
Ἰάκωβος	James
ἴαμα	healing
Ἰαμβρῆς	Jambres
Ἰανναί	Jannai
Ἰάννης	Jannes
ἰάομαι	(mid.) to heal
Ἰάρετ	Jared
ἴασις	healing
ἴασπις	jasper
Ἰάσων	Jason
ἰατρός	doctor
Ἰαχίν	Jachin
ιβʼ	two letters representing the number twelve
ἴδε	see!
ἰδέα	appearance
ἴδιος	one's own
ἰδιώτης	ordinary
ἰδού	look!
Ἰδουμαία	Idumea
ἱδρώς	sweat
Ἰεζάβελ	Jezebel
Ἱεράπολις	Hierapolis
ἱερατεία	priestly office
ἱεράτευμα	priesthood
ἱερατεύω	to serve as a priest
Ἰερεμίας	Jeremiah
ἱερεύς	priest
Ἰεριχώ	Jericho
ἱερόθυτος	sacrificed to pagan gods
ἱερόν	temple
ἱεροπρεπής	reverent
ἱερός	sacred
Ἱεροσόλυμα	Jerusalem
Ἱεροσολυμίτης	inhabitant of Jerusalem
ἱεροσυλέω	to rob temples
ἱερόσυλος	temple robber
ἱερουργέω	to perform priestly duty
Ἰερουσαλήμ	Jerusalem
ἱερωσύνη	priesthood
Ἰεσσαί	Jesse
Ἰεφθάε	Jephthah
Ἰεχονίας	Jeconiah
Ἰησοῦς	Jesus
ἱκανός	sufficient
ἱκανότης	competence
ἱκανόω	to make competent
ἱκετηρία	petition
ἰκμάς	moisture
Ἰκόνιον	Iconium
ἱλαρός	cheerful
ἱλαρότης	cheerfully
ἱλάσκομαι	(mid.) to make atonement for
ἱλασμός	atoning sacrifice
ἱλαστήριον	atoning sacrifice
ἵλεως	forgiving
Ἰλλυρικόν	Illyricum
ἱμάς	(leather) thong
ἱματίζω	(pass.) to be dressed
ἱμάτιον	clothing
ἱματισμός	clothing
ἱμείρομαι	to desire
ἵνα	a marker that shows purpose or result: in order that
ἱνατί	why?
Ἰόππη	Joppa
Ἰορδάνης	Jordan
ἰός	poison
Ἰουδαι&vζω	to follow Jewish customs
Ἰουδαι&κῶς	Jewish
Ἰουδαι&σμός	Judaism
Ἰουδαία	Judea
Ἰουδαῖος	Jewish (people)
Ἰούδας	Judah
Ἰουλία	Julia
Ἰούλιος	Julius
Ἰουνιᾶς	Junias
Ἰοῦστος	Justus
ἱππεύς	horseman
ἱππικός	mounted (troops)
ἵππος	horse
ἶρις	rainbow
Ἰσαάκ	Isaac
ἰσάγγελος	like an angel
Ἰσαχάρ	Issachar
Ἰσκαριώθ	Iscariot
Ἰσκαριώτης	Iscariot
ἰσότης	equality
ἰσότιμος	as precious as
ἰσόψυχος	like
Ἰσραήλ	Israel
Ἰσραηλίτης	Israelite
Ἰσσαχάρ	Issachar
ἵστημι	(intr.) to stand
ἱστίον	sail
ἱστορέω	to get acquainted with
ἰσχυρός	powerful
ἰσχύς	strength
ἰσχύω	to be strong
ἴσως	equal
Ἰταλία	Italy
Ἰταλικός	Italian
Ἰτουραῖος	Iturea
ἰχθύδιον	little fish
ἰχθύς	fish
ἴχνος	step
Ἰωαθάμ	Jotham
Ἰωανάν	Joanan
Ἰωάννα	Joanna
Ἰωάννης	John
Ἰωάς	Joash
Ἰώβ	Job
Ἰωβήδ	Obed
Ἰωδά	Joda
Ἰωήλ	Joel
Ἰωνάθας	Jonathas
Ἰωνάμ	Jonam
Ἰωνᾶς	Jonah
Ἰωράμ	Jehoram
Ἰωρίμ	Jorim
Ἰωσαφάτ	Jehoshaphat
Ἰωσῆς	Joses
Ἰωσήφ	Joseph
Ἰωσήχ	Josech
Ἰωσίας	Josiah
ἰῶτα	smallest letter (of the Greek alphabet)
κάβος	cab
κἀγώ	and I
κάδος	jar
καθά	(just) as
καθαίρεσις	tearing down
καθαιρέω	to take down
καθαίρω	to prune
καθάπερ	as
καθάπτω	to fasten
καθαρίζω	to make clean
καθαρισμός	cleansing
κάθαρμα	scapegoat
καθαρός	clean
καθαρότης	cleanness
καθέδρα	seat
καθέζομαι	to sit down
καθεξῆς	in order
καθεύδω	to sleep
καθηγητής	teacher
καθήκω	to be fitting
κάθημαι	to sit
καθημερινός	daily
καθίζω	(tr.) to place
καθίημι	to let down
καθιστάνω	see <a href="S:καθίστημι"/>καθίστημι</a>
καθίστημι	to put in charge
καθό	insofar as
καθολικός	general
καθόλου	at all
καθοπλίζω	(mid.) to fully arm or equip (oneself)
καθοράω	(pass.) to be clearly seen
καθότι	as
καθώς	as
καθώσπερ	just as
καί	(as a connective) and
Και&άφας	Caiaphas
Κάι&ν	Cain
Και&νάμ	Cainan
Και&νάν	Cainan
καίγε	even
καινός	new
καινότης	newness
καίπερ	though
καιρός	time (particular and general)
Καῖσαρ	Caesar
Καισάρεια	Caesarea
καίτοι	and yet
καίτοιγε	although
καίω	to light (a wick)
κἀκεῖ	and there
κἀκεῖθεν	and from there
κἀκεῖνος	and that one
κακία	evil
κακοήθεια	malice
κακολογέω	to curse
κακοπάθεια	suffering
κακοπαθέω	to suffer trouble
κακοποιέω	to do evil
κακοποιός	wrongdoing
κακοῦργος	criminal
κακουχέω	(pass.) to be mistreated
κακόω	to harm
κακῶς	evil
κάκωσις	oppression
καλάμη	straw
κάλαμος	reed
καλέω	to call
καλλιέλαιος	cultivated olive tree
καλοδιδάσκαλος	teaching what is good
Καλοὶ Λιμένες	Fair Havens
καλοκαγαθία	nobility of character
καλοποιέω	to do what is right or good
κάλυμμα	veil
καλύπτω	cover
καλῶς	good
κάμηλος	camel
κάμιλος	rope
κάμινος	furnace
καμμύω	close
κάμνω	to grow weary
κάμπτω	to bend
κἄν	and if
Κανά	Cana
Καναναῖος	Zealot
Κανανίτης	Canaanite
Κανδάκη	Candace
κανών	rule
Καπερναούμ	Capernaum
καπηλεύω	to act as a peddler
καπνός	smoke
Καππαδοκία	Cappadocia
καραδοκία	eager expectation
καρδία	heart
καρδιογνώστης	knower of the heart
καρπός	Carpus
καρποφορέω	to produce a crop
καρποφόρος	crop
καρτερέω	to persevere
κάρφος	speck
κατά	(gen.) against
καταβαίνω	to go down
καταβάλλω	(pass.) to be struck down
καταβαρέω	to burden
καταβαρύνω	(pass.) to become heavy
κατάβασις	place that goes down
καταβιβάζω	to bring down
καταβοάω	to cry out
καταβολή	creation (of the world)
καταβραβεύω	to disqualify for a prize
καταγγελεύς	advocate
καταγγέλλω	to preach
καταγελάω	to laugh at
καταγινώσκω	to condemn
κατάγνυμι	to break
καταγράφω	to write
κατάγω	to bring
καταγωνίζομαι	(mid.) to conquer
καταδέω	to bandage
κατάδηλος	clear
καταδικάζω	to condemn
καταδίκη	condemnation
καταδιώκω	to look for
καταδουλόω	to make a slave
καταδυναστεύω	(act.) to exploit
κατάθεμα	cursed thing
καταθεματίζω	to (call down a) curse
καταισχύνω	to dishonor
κατακαίω	to burn up
κατακαλύπτω	(mid.) to cover (the head)
κατακαυχάομαι	to boast about
κατάκειμαι	to lie down (in bed)
κατακλάω	to break in pieces
κατακλείω	to lock up
κατακληροδοτέω	to parcel out by lot
κατακληρονομέω	to give as an inheritance
κατακλίνω	(act.) to cause to sit
κατακλύζω	(pass.) to be deluged
κατακλυσμός	flood
κατακολουθέω	to follow
κατακόπτω	to cut
κατακρημνίζω	to throw down a cliff
κατάκριμα	condemnation
κατακρίνω	to condemn
κατάκρισις	condemnation
κατακύπτω	to stoop down
κατακυριεύω	to lord it over
καταλαλέω	to speak against
καταλαλιά	slander
κατάλαλος	slanderous
καταλαμβάνω	to obtain
καταλέγω	to put on a list
κατάλειμμα	remnant
καταλείπω	to leave (behind)
καταλιθάζω	to stone to death
καταλλαγή	reconciliation
καταλλάσσω	to reconcile (among human beings or between human beings and God)
κατάλοιπος	remaining
κατάλυμα	guest room
καταλύω	(tr.) throw down
καταμανθάνω	notice carefully
καταμαρτυρέω	to bring testimony against
καταμένω	to stay
καταμόνας	in private
κατανάθεμα	curse
καταναθεματίζω	to curse
καταναλίσκω	to consume
καταναρκάω	to burden
κατανεύω	to signal
κατανοέω	to pay attention
καταντάω	to come to
κατάνυξις	stupor
κατανύσσομαι	to be pierced
καταξιόω	(pass.) to be counted worthy
καταπατέω	to trample (an action that can show disdain)
κατάπαυσις	rest
καταπαύω	to keep from
καταπέτασμα	curtain
καταπίμπρημι	to burn to ashes
καταπίνω	to swallow
καταπίπτω	to fall down
καταπλέω	to sail to
καταπονέω	(pass.) to be oppressed
καταποντίζω	(pass.) to be drowned
κατάρα	curse
καταράομαι	(mid.) to curse
καταργέω	to nullify
καταριθμέω	(pass.) to be numbered among
καταρτίζω	to restore
κατάρτισις	perfection
καταρτισμός	preparation
κατασείω	to motion
κατασκάπτω	(act.) to tear down
κατασκευάζω	to prepare
κατασκηνόω	to perch
κατασκήνωσις	nest
κατασκιάζω	to overshadow
κατασκοπέω	to spy on
κατάσκοπος	spy
κατασοφίζομαι	to deal treacherously with
καταστέλλω	(act.) to quiet
κατάστημα	the way one lives
καταστολή	appearance
καταστρέφω	to overturn
καταστρηνιάω	to be filled with desires that conflict with dedication to someone
καταστροφή	ruin
καταστρώννυμι	(pass.) to be scattered
κατασύρω	to drag away (by considerable force)
κατασφάζω	to kill
κατασφραγίζω	(pass.) to be sealed up
κατάσχεσις	possession
κατατίθημι	(mid.) to grant a favor
κατατομή	mutilation
κατατοξεύω	to shoot down
κατατρέχω	to run down
καταυγάζω	to shine upon
καταφέρω	to cast (a vote) against
καταφεύγω	to flee
καταφθείρω	(pass.) to be depraved
καταφιλέω	to kiss
καταφρονέω	to despise
καταφρονητής	scoffer
καταφωνέω	to shout at
καταχέω	to pour out
καταχθόνιος	under the earth
καταχράομαι	to make full use of
καταψηφίζομαι	to be enrolled
καταψύχω	to cool off
κατείδωλος	full of idols / images
κατέναντι	ahead
κατενώπιον	in the sight of
κατεξουσιάζω	to exercise authority over
κατεργάζομαι	to produce
κατέρχομαι	to go down
κατεσθίω	to eat up
κατέσθω	to eat up
κατευθύνω	to guide
κατευλογέω	to bless (intensely)
κατεφίσταμαι	to make an attack upon
κατέχω	to hold back
κατηγορέω	to accuse
κατηγορία	(legal) charge
κατήγορος	accuser
κατήγωρ	accuser
κατήφεια	gloominess
κατηχέω	(act.) to instruct
κατιόω	(pass.) to become corroded
κατισχύω	to overcome
κατοικέω	to live in
κατοίκησις	where one lives
κατοικητήριον	dwelling place
κατοικία	where one lives
κατοικίζω	to cause to live in
κατοπτρίζω	(mid.) to reflect or to look at
κατόρθωμα	success
κάτω	below
κατώτερος	lower
κατωτέρω	under
Καῦδα	Cauda
καῦμα	(scorching) heat
καυματίζω	(act.) to scorch
καυματόω	to be scorched by the heat
καῦσις	burning
καυσόω	(pass.) to be consumed by fire
καυστηριάζω	(pass.) to be seared as with a hot iron
καύσων	(scorching) heat
καυτηριάζω	(pass.) to be seared with a hot iron
καυχάομαι	to boast
καύχημα	something to boast about
καύχησις	boasting
Καφαρναούμ	Capernaum
Κεγχρεαί	Cenchrea
κέδρος	cedar tree
Κεδρών	Kidron
κεῖμαι	to lay
κειρία	strip of linen
κείρω	(act.) to shear (another)
κέλευσμα	(loud) command
κελεύω	to order
κενοδοξία	vain conceit
κενόδοξος	conceited
κενοφωνία	chatter
κενόω	to empty
κέντρον	sting
κεντυρίων	centurion
κενῶς	empty
κεραία	least stroke of a pen
κεραμεύς	potter
κεραμικός	pertaining to a potter
κεράμιον	clay jar
κέραμος	clay roof tile
κεράννυμι	to mix
κέρας	horn
κεράτιον	carob pod
κερδαίνω	to gain
κέρδος	gain
κέρμα	coin
κερματιστής	money exchanger
κεφάλαιον	the (main) point
κεφαλαιόω	to strike on the head
κεφαλή	head (of a body)
κεφαλιόω	to strike on the head
κεφαλίς	section of a scroll
κηδεύω	to take care of
κημόω	to muzzle
κῆνσος	(poll) tax
κῆπος	garden
κηπουρός	gardener
κηρίον	wax
κήρυγμα	preaching
κῆρυξ	herald
κηρύσσω	to preach
κῆτος	huge fish
Κηφᾶς	Cephas (Aramaic for Peter)
κιβώριον	ciborium
κιβωτός	ark
κιθάρα	harp
κιθαρίζω	to play the harp or lyre
κιθαρῳδός	harpist
Κιλικία	Cilicia
Κίλιξ	Cilician
κινδυνεύω	to be in danger
κίνδυνος	danger
κινέω	to move
κίνησις	motion
κιννάμωμον	cinnamon
Κίς	Kish
κίχρημι	to lend
κλάδος	branch
κλαίω	to weep
κλάσις	breaking
κλάσμα	broken piece
Κλαῦδη	Clauda
Κλαυδία	Claudia
Κλαύδιος	Claudius
κλαυθμός	weeping
κλάω	to break
κλείς	key
κλείω	to close
κλέμμα	theft
Κλεοπᾶς	Cleopas
κλέος	credit
κλέπτης	thief
κλέπτω	steal
κλῆμα	branch (in context
Κλήμης	Clement
κληρονομέω	to inherit
κληρονομία	inheritance
κληρονόμος	heir
κλῆρος	(casting) lots
κληρόω	(pass.) to be chosen
κλῆσις	call
κλητός	called
κλίβανος	(fire of a) furnace
κλίμα	region
κλινάριον	bed
κλίνη	bed
κλινίδιον	bed
κλίνω	to bow down
κλισία	group reclining for a meal
κλοπή	theft
κλύδων	raging waters
κλυδωνίζομαι	to be tossed back and forth by waves
Κλωπᾶς	Clopas
κνήθω	(pass.) to feel an itch
Κνίδος	Cnidus
κοδράντης	penny
κοιλία	any and all internal organs
κοιμάω	(pass.) to fall asleep
κοίμησις	(noun) sleep
κοινός	common
κοινόω	to make (ceremonially) unclean
κοινωνέω	to share in
κοινωνία	fellowship
κοινωνικός	willing to share
κοινωνός	partner
κοίτη	(marriage) bed
κοιτών	bedroom
