G1	阿拉法
H1570	跳躍
H1571	聚集
H1572	併吞
H1573	吸收
H1574	指距
H1575	戰士
H1576	酬勞
H1577	迦末
H1578	行為
H1579	瑾瑣
H1580	報應
H1581	駱駝
H1582	基瑪利
H1583	迦瑪列
H1584	結束
H1585	完成
H1586	歌篾
H1587	基瑪利雅
H1588	園子
H1589	偷竊
H1590	賊
H1591	偷竊
H1592	基努拔
H1593	園子
H1594	園子
H1595	財寶
H1596	財寶
H1597	寶庫
H1598	圍以樹籬
H1599	近頓
H1600	吼叫
H1601	歌亞
H1602	憎惡
H1603	迦勒
H1604	憎恨
H1605	譴責
H1606	譴責
H1607	劇烈的震動
H1608	迦實
H1609	迦坦
H1610	背脊
H1611	翅膀
H1612	葡萄樹
H1613	建造用的木料
H1614	柏樹樹脂
H1615	石灰
H1616	旅客
H1617	基拉
H1618	皮屑
H1619	迦立
H1620	漿果
H1621	咽喉
H1622	革迦撒人
H1623	磨擦
H1624	打擾
H1625	反芻倒嚼
H1626	果核
H1627	咽喉
H1628	住處
H1629	隔絕
H1630	基利心
H1631	斧
H1632	粗糙的
H1633	清瘦如骨架
H1634	骨
H1635	骨
H1636	迦米人
H1637	禾場
H1638	壓破
H1639	刮掉
H1640	沖去
H1641	用力拖曳
H1642	基拉耳
H1643	穀粒
H1644	剝奪所有權
H1645	生產
H1646	強奪
H1647	革舜
H1648	革順
H1649	革順人
H1650	基述
H1651	基述人
H1652	降豪雨
H1653	下雨
H1654	基善
H1655	身體
H1656	降雨在其上
H1657	歌珊
H1658	基斯帕
H1659	四處摸觸
H1660	酒醡
H1661	迦特
H1662	迦特希弗
H1663	迦特人
H1664	基他音
H1665	迦特
H1666	基帖
H1667	迦特臨門
H1668	這
H1669	苦思
H1670	苦思的
H1671	憔悴的
H1672	不安
H1673	多益
H1674	憂慮
H1675	投擲
H1676	鳶
H1677	熊
H1678	熊
H1679	安靜
H1680	緩慢移動
H1681	誹謗
H1682	蜜蜂
H1683	底波拉
H1684	獻祭
H1685	祭
H1686	鴿子糞
H1687	聖所
H1688	底璧
H1689	第伯拉他
H1690	無花果餅
H1691	滴拉音
H1692	衝擊
H1693	黏附
H1694	連接
H1695	忠於
H1696	處理
H1697	話
H1698	瘟疫
H1699	草場
H1700	原因
H1701	意向
H1702	筏子
H1703	話語
H1704	底伯利
H1705	大比拉
H1706	黏性的
H1707	一團黏物質
H1708	大巴設
H1709	魚
H1710	魚
H1711	急速移動
H1712	大袞
H1713	飄揚
H1714	旗幟
H1715	增長
H1716	孵蛋
H1717	胸
H1718	慢步
H1719	底但
H1720	底但人
H1721	多單
H1722	金
H1723	底亥人
H1724	沉默的
H1725	騰躍
H1726	疾馳
H1727	憂鬱
H1728	漁夫
H1729	漁場
H1730	愛情紀念品
H1731	壺
H1732	大衛
H1733	姑母
H1734	朵多
H1735	多大瓦
H1736	煮器
H1737	朵代
H1738	患病
H1739	病的
H1740	推去
H1741	疾病
H1742	有病的
H1743	搗碎
H1744	戴鵀
H1745	寂靜
H1746	度瑪
H1747	寂靜
H1748	靜止的
H1749	蠟
H1750	跳躍
H1751	弄碎
H1752	盤旋
H1753	居住
H1754	圓圈
H1755	時間的一個循環
H1756	多珥
H1757	杜拉
H1758	踹踏
H1759	踐踏
H1760	推倒
H1761	樂器
H1762	推倒
H1763	潛行
H1764	粟
H1765	驅策
H1766	擁擠
H1767	充足
H1768	那
H1769	底本
H1770	打魚
H1771	漁夫
H1772	獵鷹
H1773	墨水
H1774	底撒哈
H1775	底們
H1776	底摩拿
H1777	裁決
H1778	審判
H1779	審判
H1780	判斷
H1781	審判者
H1782	審判官
H1783	底拿
H1784	底拿人
H1785	防禦高臺
H1786	打穀季節
H1787	底順
H1788	跳躍的東西
H1789	底珊
H1790	壓碎的
H1791	這
H1792	弄碎
H1793	壓破的
H1794	崩潰
H1795	受殘害
H1796	海濤衝擊
H1797	這
H1798	雄性的羊
H1799	登記
H1800	搖擺
H1801	
H1802	懸垂
H1803	搖擺的東西
H1804	將水攪渾
H1805	桶
H1806	第萊雅
H1807	大利拉
H1808	搖擺的東西
H1809	鬆弛
H1810	底連
H1811	滴落
H1812	滴落的
H1813	達分
H1814	點燃
H1815	燃燒
H1816	燃燒
H1817	擺動的
H1818	血
H1819	比較
H1820	沉默的
H1821	相似
H1822	荒蕪
H1823	相似
H1824	安靜
H1825	相似
H1826	沉默
H1827	寂靜
H1828	肥料
H1829	丁拿
H1830	哭泣
H1831	淚
H1832	哭泣
H1833	花布
H1834	大馬色
H1835	但
H1836	這
H1837	大拿
H1838	亭哈巴
H1839	但人
H1840	但以理
H1841	但以理
H1842	但雅安
H1843	知識
H1844	知識
H1845	丟珥
H1846	消滅
H1847	知識
H1848	阻礙物
H1849	敲
H1850	脫加
H1851	壓碎的
H1852	碎片
H1853	德拉
H1854	磨成粉
H1855	弄碎
H1856	刺傷
H1857	底甲
H1858	珍珠
H1859	時代
H1860	嫌惡
H1861	刺棒
H1862	達大
H1863	荊棘
H1864	南
H1865	自由
H1866	一種雀鳥
H1867	大利烏
H1868	大利烏
H1869	踐踏
H1870	道
H1871	達利克
H1872	臂
H1873	大拉
H1874	達昆
H1875	行走
H1876	長出
H1877	發芽
H1878	豐富的
H1879	肥的
H1880	肥脂
H1881	敕令
H1882	法令
H1883	嫩草
H1884	熟悉律法者
H1885	大坍
H1886	多坍
H1887	看啊
H1888	正
H1889	阿哈
H1890	禮物
H1891	虛無的
H1892	虛空
H1893	亞伯
H1894	烏木
H1895	作占星術的
H1896	希該
H1897	低聲怨言
H1898	移開
H1899	喃喃低語
H1900	沉思地說
H1901	低聲怨言
H1902	喃喃之聲
H1903	合適
H1904	夏甲
H1905	哈基利
H1906	歡呼
H1907	大臣
H1908	哈達
H1909	哈大底謝
H1910	哈達臨門
H1911	伸出手來
H1912	印度
H1913	哈多蘭
H1914	希太
H1915	用腳踹破
H1916	腳凳
H1917	踏成碎片
H1918	番石榴
H1919	哈大沙
H1920	推開
H1921	高傲
H1922	顯大
H1923	宏大
H1924	哈達
H1925	尊榮
H1926	華麗
H1927	裝飾
H1928	哈大利謝
H1929	啊
H1930	哦
H1931	他
H1932	他
H1933	生存
H1934	存在
H1935	莊嚴
H1936	河得
H1937	何達威
H1938	何達威雅
H1939	何大雅
H1940	荷第雅
H1941	荷第雅
H1942	欲望
H1943	破壞
H1944	何咸
H1945	哦
H1946	行走
H1947	愚昧
H1948	愚昧
H1949	引起騷動
H1950	荷幔
H1951	無用的
H1952	財富
H1953	何沙瑪
H1954	何細亞
H1955	何沙雅
H1956	何提
H1957	作夢
H1958	哀傷
H1959	喝釆
H1960	稱謝
H1961	存在
H1962	毀滅
H1963	怎麼
H1964	大型公有建築物
H1965	宮殿
H1966	晨星
H1967	希幔
H1968	希幔
H1969	欣
H1970	受傷
H1971	顧慮
H1972	離去
H1973	到遠處
H1974	收穫感恩會
H1975	這
H1976	正是這個
H1977	這個
H1978	步行
H1979	步行
H1980	行走
H1981	步行
H1982	旅行
H1983	旅程
H1984	清晰
H1985	希列
H1986	打擊
H1987	希連
H1988	到此處
H1989	鎚子
H1990	哈麥
H1991	豐富
H1992	他們
H1993	喧囂
H1994	他們
H1995	響聲
H1996	哈們歌革
H1997	哈摩那
H1998	聲音
H1999	暴風雨衝撞聲
H2000	落在騷動中
H2001	哈曼
H2002	項鍊
H2003	乾枝
H2004	他們
H2005	看哪
H2006	看哪
H2007	他們自己
H2008	到此處
H2009	看
H2010	准許休息
H2011	欣嫩
H2012	希拿
H2013	使安靜
H2014	鬆弛
H2015	轉向
H2016	轉變
H2017	顛覆
H2018	毀滅
H2019	極其邪惡
H2020	解救
H2021	兵器
H2022	大山
H2023	何珥
H2024	哈拉
H2025	壇
H2026	擊殺
H2027	屠殺
H2028	屠殺
H2029	懷孕
H2030	懷孕
H2031	懷思
H2032	懷孕
H2033	哈律人
H2034	毀壞的物
H2035	毀壞
H2036	荷蘭
H2037	哈崙
H2038	哈門
H2039	哈蘭
H2040	拆毀
H2041	毀壞
H2042	山
H2043	哈拉人
H2044	哈深
H2045	通告
H2046	鎔化
H2047	哈他革
H2048	愚弄
H2049	嘲笑
H2050	闖入
H2051	威但
H2052	哇哈伯
H2053	鈎子
H2054	犯罪
H2055	瓦耶撒他
H2056	孩童
H2057	專有名詞瓦尼雅
H2058	縛西
H2059	約珥
H2060	瓦實提
H2061	狼
H2062	西伊伯
H2063	這
H2064	賜給
H2065	恩賜
H2066	撒拔
H2067	撒底
H2068	撒巴第業
H2069	西巴第雅
H2070	蒼蠅
H2071	撒布得
H2072	撒布
H2073	居所
H2074	西布倫
H2075	西布倫人
H2076	宰殺牲畜
H2077	屠宰
H2078	西巴
H2079	薩拜
H2080	西布大
H2081	西比拿
H2082	圍繞
H2083	西布勒
H2084	購得
H2085	皮
H2086	傲慢的
H2087	傲慢
H2088	這
H2089	羔羊
H2090	這或那
H2091	金
H2092	厭惡
H2093	撒罕
H2094	閃光
H2095	勸告
H2096	光輝
H2097	這或那
H2098	這或那
H2099	西弗
H2100	流通
H2101	流動
H2102	激昂
H2103	狂傲
H2104	蘇西人
H2105	梭黑
H2106	角
H2107	抖出
H2108	散落
H2109	使豐滿
H2110	供養
H2111	擺脫
H2112	驚動
H2113	震動
H2114	轉變方向
H2115	壓擠
H2116	踐踏
H2117	薩撒
H2118	推擠
H2119	爬行
H2120	瑣希列
H2121	沸騰
H2122	歡愉
H2123	顯著的
H2124	細撒
H2125	細撒
H2126	細拿
H2127	細亞
H2128	西弗
H2129	西法
H2130	西弗人
H2131	閃向前
H2132	橄欖
H2133	細坦
H2134	清亮的
H2135	清徹的
H2136	純潔
H2137	透明
H2138	男丁
H2139	撒刻
H2140	薩改
H2141	透明
H2142	記念
H2143	記念品
H2144	撒迦
H2145	被記念的
H2146	記念品
H2147	細基利
H2148	撒迦利亞
H2149	搖撼不定的
H2150	戰慓
H2151	震動
H2152	赤熱
H2153	悉帕
H2154	計謀
H2155	薪瑪
H2156	嫩枝
H2157	散送冥
H2158	用樂器伴奏的詩歌
H2159	嫩枝
H2160	細米拉
H2161	圖謀
H2162	陰謀
H2163	指定
H2164	同意
H2165	指定的機會
H2166	指定的時機
H2167	用手指彈奏
H2168	修剪
H2169	瞪羚
H2170	樂器
H2171	樂器演奏者
H2172	用樂器伴奏的歌曲
H2173	選出的果實
H2174	心利
H2175	心蘭
H2176	以樂器演奏的音樂
H2177	供給
H2178	品種
H2179	搖擺
H2180	尾巴
H2181	飽暖思淫慾
H2182	撒挪亞
H2183	私通
H2184	姦淫
H2185	妓女
H2186	推開
H2187	彎腿往前跳
H2188	流汗
H2189	戰慓
H2190	撒番
H2191	減少
H2192	一點
H2193	消滅
H2194	激怒
H2195	憤怒
H2196	沸騰
H2197	發怒
H2198	怨恨的
H2199	喊叫
H2200	呼叫
H2201	哀告
H2202	西斐崙
H2203	柏油
H2204	變老
H2205	老的
H2206	鬍鬚
H2207	老年
H2208	老年
H2209	老年
H2210	舉起
H2211	掛起
H2212	濾過
H2213	戴花圈
H2214	厭惡
H2215	流散
H2216	所羅巴伯
H2217	所羅巴伯
H2218	撒烈
H2219	投擲
H2220	膀臂
H2221	撒種
H2222	流通
H2223	束帶
H2224	照射
H2225	光照
H2226	謝拉
H2227	謝拉人
H2228	西拉希雅
H2229	湧流
H2230	湧流的水
H2231	湧出
H2232	撒種
H2233	種子
H2234	子孫
H2235	蔬菜
H2236	灑
H2237	散布
H2238	細利斯
H2239	一掌寬
H2240	薩土
H2241	細坦
H2242	西達
H2243	珍愛之物
H2244	藏
H2245	隱藏
H2246	何巴
H2247	隱祕
H2248	推翻
H2249	哈博
H2250	縛緊
H2251	擊倒
H2252	哈巴雅
H2253	隱藏
H2254	纏緊
H2255	拆毀
H2256	繩索
H2257	傷害
H2258	當頭
H2259	水手
H2260	桅桿
H2261	玫瑰
H2262	哈巴洗尼雅
H2263	緊握
H2264	緊握手
H2265	哈巴谷
H2266	連接
H2267	交往
H2268	希伯
H2269	結交
H2270	同伴
H2271	夥伴
H2272	條紋
H2273	同夥
H2274	結交
H2275	希伯崙
H2276	希伯倫人
H2277	希別人
H2278	配偶
H2279	連接物
H2280	纏裹
H2281	煎炸
H2282	節期
H2283	眩暈
H2284	蝗蟲
H2285	哈甲
H2286	哈迦巴
H2287	節期行列
H2288	巖穴
H2289	束帶
H2290	帶子
H2291	哈基
H2292	哈該
H2293	哈基雅
H2294	哈及
H2295	曷拉
H2296	佩帶
H2297	一
H2298	一
H2299	銳利的
H2300	使銳利
H2301	哈達
H2302	歡喜
H2303	N 1尖銳
H2304	歡樂
H2305	高興
H2306	胸膛
H2307	哈第
H2308	鬆軟的
H2309	安息
H2310	遺棄的
H2311	哈得萊
H2312	多刺的植物
H2313	希底結
H2314	圍繞
H2315	房間
H2316	哈大
H2317	哈得拉
H2318	更新
H2319	新的
H2320	新月
H2321	賀得
H2322	哈大沙
H2323	新的
H2324	告知
H2325	打結
H2326	債務人
H2327	何把
H2328	畫圈
H2329	圓圈
H2330	打結
H2331	活出
H2332	夏娃
H2333	生命之母
H2334	哈倭特睚珥
H2335	何賽
H2336	荊棘
H2337	幽谷
H2338	串在一起
H2339	一根線
H2340	希末人
H2341	哈腓拉
H2342	盤旋
H2343	戶勒
H2344	沙
H2345	曬黑
H2346	城牆
H2347	遮掩
H2348	海灣
H2349	戶反
H2350	戶反人
H2351	以牆隔開
H2352	洞口
H2353	白線
H2354	戶珥
H2355	白布
H2356	穴
H2357	變白
H2358	白的
H2359	戶利
H2360	戶萊
H2361	戶蘭
H2362	浩蘭
H2363	趕快
H2364	戶沙
H2365	戶篩
H2366	戶伸
H2367	戶珊
H2368	圖刻戒指
H2369	何坦
H2370	注視
H2371	哈薛
H2372	注視
H2373	胸
H2374	看見異象的人
H2375	哈瑣
H2376	觀看
H2377	異象
H2378	啓示
H2379	看見
H2380	觀看
H2381	哈薛
H2382	哈賽雅
H2383	希旬
H2384	啓示
H2385	閃電
H2386	豬
H2387	希悉
H2388	緊握
H2389	堅強的
H2390	有力的
H2391	力量
H2392	能力
H2393	強盛能力
H2394	強烈
H2395	希西基
H2396	希西家
H2397	鼻環
H2398	失誤
H2399	罪行
H2400	有罪的
H2401	犯罪
H2402	罪行
H2403	犯罪
H2404	砍伐
H2405	繡織
H2406	麥子
H2407	哈突
H2408	罪行
H2409	贖罪
H2410	哈底大
H2411	哈替
H2412	哈提法
H2413	停止
H2414	抓牢
H2415	小枝
H2416	活的
H2417	著
H2418	活
H2419	希伊勒
H2420	困惑
H2421	存活
H2422	精力充沛的
H2423	動物
H2424	生活
H2425	活
H2426	軍隊
H2427	劇痛
H2428	力量
H2429	軍隊
H2430	壕溝
H2431	希蘭
H2432	希崙
H2433	美雅
H2434	牆
H2435	牆外的
H2436	胸
H2437	希拉
H2438	希蘭
H2439	急促
H2440	迅速
H2441	口蓋
H2442	堅持
H2443	鉤子
H2444	哈基拉
H2445	明智
H2446	哈迦利亞
H2447	紅潤
H2448	發紅
H2449	有智慧
H2450	聰明
H2451	智慧
H2452	智慧
H2453	哈革摩尼
H2454	智慧
H2455	暴露的
H2456	有病
H2457	變質
H2458	希拉
H2459	脂油
H2460	希立
H2461	牛奶
H2462	黑巴
H2463	黑本
H2464	喜利比拿
H2465	生命
H2466	希立
H2467	鼬鼠
H2468	戶勒大
H2469	黑玳
H2470	軟弱
H2471	餅
H2472	夢
H2473	何倫
H2474	窗戶
H2475	幸存
H2476	擊敗
H2477	哈臘
H2478	哈忽
H2479	疼痛
H2480	抓住
H2481	妝飾
H2482	哈利
H2483	疾病
H2484	妝飾
H2485	笛
H2486	不敬畏的事
H2487	交替
H2488	脫下
H2489	不幸
H2490	傷害
H2491	刺死
H2492	被牢牢的捆綁
H2493	夢
H2494	希連
H2495	蛋
H2496	火石
H2497	希倫
H2498	滑動
H2499	經過
H2500	替換
H2501	希利弗
H2502	脫下
H2503	希利斯
H2504	腰
H2505	分配
H2506	圓活
H2507	希勒
H2508	一分
H2509	圓滑的
H2510	哈拉
H2511	光滑的
H2512	光滑
H2513	光滑
H2514	諂媚
H2515	分配
H2516	希勒人
H2517	希勒愷
H2518	希勒家
H2519	極其圓滑
H2520	黑甲
H2521	希利甲哈素林
H2522	俯臥
H2523	虛弱的
H2524	岳父
H2525	熱
H2526	含
H2527	熱
H2528	發怒
H2529	凝結的乳
H2530	喜愛
H2531	喜悅
H2532	喜歡
H2533	欣但
H2534	熱
H2535	熱
H2536	哈母利
H2537	哈慕他
H2538	哈母勒
H2539	哈母勒人
H2540	哈們
H2541	厲害的
H2542	包裹
H2543	公驢
H2544	哈抹
H2545	岳母
H2546	蜥蜴
H2547	宏他
H2548	調味的
H2549	第五
H2550	憐憫
H2551	憐恤
H2552	發熱
H2553	日像
H2554	強暴
H2555	暴行
H2556	苛刻
H2557	酵
H2558	醋
H2559	封裝
H2560	沸騰
H2561	酒
H2562	酒
H2563	泡沫
H2564	瀝青
H2565	堆
H2566	哈默蘭
H2567	徵收五分之一
H2568	五
H2569	五分之一
H2570	肚腹
H2571	堅強的
H2572	五十
H2573	皮袋
H2574	哈馬
H2575	哈末
H2576	哈末多珥
H2577	哈馬人
H2578	哈馬瑣巴
H2579	哈馬拉巴
H2580	恩典
H2581	賢
H2582	希拿達
H2583	傾斜
H2584	哈拿
H2585	以諾
H2586	哈嫩
H2587	有恩惠的
H2588	地窖
H2589	懇求
H2590	香料
H2591	麥子
H2592	漢聶
H2593	正式教導
H2594	恩惠
H2595	槍矛
H2596	變窄
H2597	奉獻
H2598	發起進入
H2599	哈諾人
H2600	免費
H2601	哈拿篾
H2602	霜
H2603	恩待
H2604	恩寵
H2605	哈難
H2606	哈楠業
H2607	哈拿尼
H2608	哈拿尼雅
H2609	哈內斯
H2610	玷污
H2611	染污的
H2612	道德上的污穢
H2613	不敬虔
H2614	使狹窄
H2615	哈拿順
H2616	俯首
H2617	恩慈
H2618	希悉
H2619	哈撒底
H2620	逃避
H2621	何薩
H2622	自信
H2623	仁慈
H2624	鳥
H2625	破壞者
H2626	堅固的
H2627	有缺點的
H2628	喫光
H2629	戴口絡
H2630	緊密
H2631	得著
H2632	力量
H2633	財富
H2634	有力的
H2635	土塊
H2636	微量
H2637	缺乏
H2638	缺少
H2639	短缺
H2640	貧窮
H2641	哈斯拉
H2642	不足
H2643	純潔
H2644	遮蓋
H2645	蓋
H2646	遮蓋
H2647	胡巴
H2648	突然開始
H2649	急忙逃去
H2650	戶品
H2651	兩拳
H2652	何弗尼
H2653	遮蓋
H2654	傾向
H2655	喜愛
H2656	喜歡
H2657	協西巴
H2658	探討
H2659	面赤
H2660	希弗
H2661	洞
H2662	希弗人
H2663	哈弗連
H2664	尋覓
H2665	掩蔽
H2666	鬆開
H2667	散佈
H2668	自由
H2669	因病臥倒
H2670	免除
H2671	錐
H2672	割切
H2673	切開
H2674	夏瑣
H2675	夏瑣哈大他
H2676	一半
H2677	一半
H2678	箭
H2679	米努哈人
H2680	瑪拿哈人
H2681	院子
H2682	青草
H2683	胸懷
H2684	懷中
H2685	剪傷
H2686	砍入
H2687	箭
H2688	哈洗遜他瑪
H2689	號
H2690	將聲音隔絕
H2691	院子
H2692	哈薩亞達
H2693	哈薩迦大
H2694	哈撒哈提干
H2695	希斯萊
H2696	希斯倫
H2697	希斯倫人
H2698	哈洗錄
H2699	鄉村
H2700	哈薩瑪非
H2701	哈薩蘇撒
H2702	哈薩蘇撒
H2703	哈薩以難
H2704	哈薩以難
H2705	哈薩書亞
H2706	律例
H2707	雕刻
H2708	指定
H2709	哈古巴
H2710	斧劈
H2711	制定
H2712	戶割
H2713	透入
H2714	檢查
H2715	白
H2716	排泄物
H2717	使乾透
H2718	毀壞
H2719	乾燥
H2720	乾透
H2721	乾旱
H2722	何烈山
H2723	乾旱
H2724	曠野
H2725	灼熱
H2726	哈波拿
H2727	突然驚跳
H2728	跳躍的昆蟲
H2729	發抖
H2730	膽怯
H2731	懼怕
H2732	哈拉大
H2733	哈律人
H2734	發熱
H2735	曷哈及甲
H2736	哈海難
H2737	穿洞的
H2738	多刺的
H2739	哈路抹
H2740	烈怒
H2741	哈律弗人
H2742	切割
H2743	哈魯斯
H2744	哈忽
H2745	哈珥哈斯
H2746	熱病
H2747	雕刻刀
H2748	行法術的
H2749	術士
H2750	燃燒
H2751	白餅
H2752	何利人
H2753	何利
H2754	造成空的
H2755	鴿糞
H2756	哈拉
H2757	鋒利的切割工具
H2758	耕種
H2759	安靜的
H2760	編織
H2761	燒焦
H2762	網
H2763	隔絕
H2764	關閉網
H2765	和璉
H2766	哈琳
H2767	何珥瑪
H2768	黑門
H2769	黑門
H2770	鐮刀
H2771	哈蘭
H2772	和倫
H2773	何羅念
H2774	哈尼弗
H2775	疥瘡
H2776	希烈
H2777	哈珥西
H2778	拉下
H2779	收穫
H2780	哈勒
H2781	傲慢
H2782	尖銳指責
H2783	體力的元氣
H2784	束縛
H2785	酸葡萄
H2786	切齒
H2787	熾燃
H2788	乾燥
H2789	瓦片
H2790	刻劃
H2791	魔術技巧
H2792	黑勒施
H2793	森林
H2794	工匠
H2795	聾
H2796	巧匠
H2797	哈沙
H2798	革夏納欣
H2799	機械工作
H2800	夏羅設
H2801	雕刻
H2802	哈列
H2803	編摺
H2804	算為
H2805	帶子
H2806	哈拔大拿
H2807	哈舒巴
H2808	設計
H2809	希實本
H2810	發明機器
H2811	哈沙比雅
H2812	哈沙拿
H2813	哈沙尼
H2814	使平靜
H2815	哈述
H2816	黑暗
H2817	哈蘇巴
H2818	需要
H2819	需要
H2820	限制
H2821	使暗
H2822	黑暗
H2823	黑暗
H2824	黑暗
H2825	黑暗
H2826	變成不隱的
H2827	變弱
H2828	哈順
H2829	黑實門
H2830	青銅
H2831	富裕的
H2832	哈摩拿
H2833	胸牌
H2834	脫下
H2835	撤除
H2836	黏附
H2837	喜歡
H2838	連接的
H2839	相連合的
H2840	結合
H2841	組合
H2842	乾草
H2843	戶沙人
H2844	壓破
H2845	赫
H2846	抓住
H2847	畏懼
H2848	包裹
H2849	恐佈
H2850	赫人
H2851	畏懼
H2852	除去
H2853	包裹
H2854	包裹的布
H2855	希特倫
H2856	關閉
H2857	封閉
H2858	封緘
H2859	女兒出嫁
H2860	新郎
H2861	結婚
H2862	抓住
H2863	強奪
H2864	盜賊挖窟窿
H2865	倒下
H2866	喪膽
H2867	哈塔
H2868	喜樂
H2869	善
H2870	他別
H2871	染色的
H2872	堆積
H2873	宰殺
H2874	屠宰物
H2875	提八
H2876	屠夫
H2877	護衛
H2878	肉
H2879	女廚師
H2880	提巴
H2881	蘸
H2882	底巴利雅
H2883	沉陷
H2884	答巴俄
H2885	印
H2886	他伯利們
H2887	提別
H2888	他巴
H2889	潔淨
H2890	純潔的
H2891	光亮的
H2892	光輝
H2893	洗淨
H2894	掃除
H2895	美善
H2896	善
H2897	陀伯
H2898	美物
H2899	鴕巴多尼雅
H2900	多比雅
H2901	紡織
H2902	抹
H2903	圍繞著前額
H2904	拋
H2905	行列
H2906	磐石
H2907	飛撲
H2908	飢餓
H2909	拉弓
H2910	內裡
H2911	手磨
H2912	磨粉
H2913	手磨
H2914	疔
H2915	灰漿
H2916	泥
H2917	泥土
H2918	牆
H2919	甘露
H2920	露
H2921	覆蓋
H2922	保護
H2923	提拉因
H2924	綿羊羔
H2925	推翻
H2926	撒布
H2927	遮蔭
H2928	提鍊
H2929	達們
H2930	玷污
H2931	玷污
H2932	污穢
H2933	不潔淨
H2934	隱藏
H2935	籃子
H2936	污損
H2937	徘徊
H2938	品嘗
H2939	餵食
H2940	品嘗
H2941	審判
H2942	味道
H2943	裝籃
H2944	刺
H2945	孩子
H2946	鋪開
H2947	伸開手
H2948	掌寬
H2949	餵養
H2950	縫補
H2951	軍長
H2952	輕快小步
H2953	指甲
H2954	使厚
H2955	他法
H2956	繼續進行
H2957	逐出
H2958	尚未
H2959	使負擔過重
H2960	重載
H2961	滴落
H2962	未發生的
H2963	拔下
H2964	撕裂物
H2965	新近撕下
H2966	掠奪物
H2967	他毗拉人
H2968	意欲
H2969	合宜的
H2970	雅撒尼亞
H2971	睚珥
H2972	睚珥人
H2973	鬆弛的
H2974	給與
H2975	河床
H2976	停止
H2977	約西亞
H2978	進口
H2979	耶特賴
H2980	大喊
H2981	生產
H2982	耶布斯
H2983	耶布斯人
H2984	益轄
H2985	耶賓
H2986	流
H2987	帶
H2988	川
H2989	雅八
H2990	傷口
H2991	以伯蓮
H2992	娶
H2993	丈夫的兄弟
H2994	兄弟的妻子
H2995	雅比聶
H2996	雅比尼
H2997	伊比尼雅
H2998	伊比尼雅
H2999	雅博
H3000	耶比利家
H3001	慚愧
H3002	枯乾
H3003	雅比
H3004	乾地
H3005	易伯散
H3006	旱地
H3007	旱地
H3008	以甲
H3009	挖
H3010	耕地
H3011	約比哈
H3012	伊基大利
H3013	悲傷
H3014	推開
H3015	痛苦
H3016	懼怕
H3017	雅姑珥
H3018	辛勞
H3019	困乏的
H3020	約利
H3021	喘息
H3022	勞碌得來的
H3023	困倦的
H3024	疲倦
H3025	懼怕
H3026	伊迦爾撒哈杜他
H3027	手
H3028	手
H3029	讚美
H3030	以大拉
H3031	伊得巴
H3032	以手持物
H3033	愛好
H3034	用手
H3035	易多
H3036	雅頓
H3037	押杜亞
H3038	耶杜頓
H3039	親愛的
H3040	耶底大
H3041	耶底底亞
H3042	耶大雅
H3043	耶疊
H3044	益拉
H3045	知道
H3046	知道
H3047	雅大
H3048	耶大雅
H3049	有見識的
H3050	耶和華
H3051	給
H3052	送交
H3053	所交給的
H3054	猶太化
H3055	伊胡得
H3056	雅代
H3057	猶大女子
H3058	耶戶
H3059	約哈斯
H3060	約阿施
H3061	猶大
H3062	猶大人
H3063	猶大
H3064	猶大
H3065	猶底
H3066	猶太語
H3067	猶滴
H3068	自有
H3069	耶和華阿
H3070	耶和華以勒
H3071	耶和華尼西
H3072	耶和華我們的義
H3073	耶和華沙龍
H3074	耶和華的所在
H3075	約薩拔
H3076	約哈難
H3077	耶何耶大
H3078	約雅斤
H3079	約雅敬
H3080	耶何雅立
H3081	猶甲
H3082	約拿達
H3083	約拿單
H3084	約瑟
H3085	耶何阿達
H3086	約耶但
H3087	約撒答
H3088	約蘭
H3089	約示巴
H3090	約示巴人
H3091	約書亞
H3092	約沙法
H3093	得意的
H3094	耶哈利勒
H3095	寶石
H3096	雅雜
H3097	約押
H3098	約亞
H3099	約哈斯
H3100	約珥
H3101	約阿施
H3102	約伯
H3103	約巴
H3104	吹角
H3105	溪
H3106	猶八
H3107	約撒拔
H3108	約撒甲
H3109	約哈
H3110	約哈難
H3111	耶何耶大
H3112	約雅斤
H3113	約雅金
H3114	約雅立
H3115	約基別
H3116	猶甲
H3117	日
H3118	日
H3119	每一天
H3120	雅完
H3121	渣滓
H3122	約拿達
H3123	鴿子
H3124	約拿
H3125	希臘
H3126	吸枝
H3127	嫩芽
H3128	遠方無聲鴿子
H3129	約拿單
H3130	約瑟
H3131	約細斐
H3132	猶拉
H3133	約葉
H3134	約以謝
H3135	約阿施
H3136	約薩達
H3137	約敬
H3138	灑水
H3139	約拉
H3140	約賴
H3141	約蘭
H3142	于沙希悉
H3143	約示比
H3144	約沙
H3145	約沙未雅
H3146	約沙法
H3147	約坦
H3148	過多的
H3149	耶薛
H3150	耶西雅
H3151	雅悉
H3152	伊斯利亞
H3153	耶撒尼亞
H3154	汗
H3155	伊斯拉人
H3156	伊斯拉希
H3157	耶斯列
H3158	耶斯列人
H3159	耶斯列女人
H3160	耶戶巴
H3161	成為一
H3162	結合的
H3163	耶哈多
H3164	雅疊
H3165	耶希底亞
H3166	耶哈悉
H3167	雅哈謝
H3168	以西結
H3169	希西家
H3170	雅希細拉
H3171	耶歇
